id;placed_date;status;code;invoice_id;customer
1;2022-05-23T03:25:26;COMPLETED;Electronics;57858;calculate
2;2022-05-23T02:09:16;CANCELLED;one-to-one Corporate;74608;Steel
3;2022-05-22T17:36:43;CANCELLED;cross-platform Health;12251;real-time
4;2022-05-22T20:23:28;CANCELLED;Hat;10576;Square revolutionize
5;2022-05-23T03:26:57;CANCELLED;implement Implementation;23738;Bike
6;2022-05-22T18:38:18;CANCELLED;Industrial Checking Right-sized;52549;models
7;2022-05-22T18:50:26;PENDING;Implemented;30578;Home
8;2022-05-22T22:49:27;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2022-05-23T03:37:13;COMPLETED;National Program;95175;neural hacking
10;2022-05-23T03:30:13;COMPLETED;hack Shirt Walks;57700;full-range back
