id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-05-23T03:53:10;Loop;CANCELLED;PAYPAL;2022-05-22T22:13:35;22604
2;calculating;2022-05-23T04:21:33;haptic 1080p;ISSUED;PAYPAL;2022-05-22T15:35:13;10489
3;national Frozen Berkshire;2022-05-23T04:36:23;Account Borders Home;PAID;CREDIT_CARD;2022-05-22T19:19:14;36325
4;monitor;2022-05-22T14:38:59;parse intuitive Division;CANCELLED;PAYPAL;2022-05-22T16:14:00;13687
5;synergy transmitting;2022-05-22T14:41:14;parse Gloves;ISSUED;PAYPAL;2022-05-22T23:17:52;92472
6;function;2022-05-22T19:34:42;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-05-23T06:41:43;26944
7;Maine;2022-05-23T06:01:05;RAM;ISSUED;PAYPAL;2022-05-23T11:02:57;32458
8;Analyst Agent;2022-05-23T09:55:47;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-05-23T06:57:29;79389
9;Salad;2022-05-22T16:04:29;Gorgeous;ISSUED;CREDIT_CARD;2022-05-23T00:50:53;62169
10;Pants Wooden Intuitive;2022-05-23T01:28:26;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-05-22T21:23:03;58737
